Signal_value,Date
14.3575,20190628
14.175999999999998,20190628
14.3992307692,20190628
14.3848,20190628
13.7984,20190628
13.6992,20190702
14.0712,20190702
14.2146153846,20190702
14.2648,20190702
14.1692307692,20190702
14.2417391304,20190702
13.7043478261,20190702
13.7915384615,20190702
13.5192,20190702
13.2984,20190702
13.42,20190702
13.472999999999999,20190702
13.5632,20190702
14.2163636364,20190702
14.213,20190702
14.25,20190702
14.266153846199998,20190702
14.1946153846,20190702
13.486153846199999,20190702
13.6016,20190702
12.8392307692,20190702
14.2146153846,20190702
13.5752,20190702
13.5695652174,20190702
14.107999999999999,20190702
13.655652173900002,20190702
14.195,20190702
14.1,20190702
14.1172727273,20190702
14.274782608699999,20190702
13.7905882353,20190702
14.123,20190702
14.1223076923,20190702
14.0453846154,20190702
13.8936,20190702
13.4776923077,20190702
14.1074074074,20190702
14.088,20190702
13.43,20190702
14.013333333299999,20190702
14.0610526316,20190702
14.0568,20190702
13.331538461500001,20190702
12.916153846199999,20190702
12.81,20190703
14.46,20190703
14.4575,20190703
14.4428571429,20190703
14.485833333299999,20190703
14.510434782599999,20190703
14.470666666700001,20190703
14.5247619048,20190703
14.526923076900001,20190703
14.5253846154,20190703
14.4884615385,20190703
14.0870588235,20190703
14.4,20190703
13.4460869565,20190703
13.435,20190703
14.42,20190703
14.47,20190703
14.34,20190703
12.9168,20190703
13.575999999999999,20190703
14.2823076923,20190703
14.3223076923,20190703
14.298571428599999,20190703
13.6976923077,20190703
14.1885714286,20190703
14.2233333333,20190703
14.255384615399999,20190703
14.0346153846,20190703
14.100833333299999,20190703
14.3685714286,20190703
14.1425,20190703
14.1125,20190703
14.1541666667,20190703
14.1547826087,20190703
14.1384,20190703
13.7076923077,20190703
14.1923076923,20190703
14.219230769200001,20190703
14.21,20190703
13.566666666700002,20190703
14.1544,20190703
13.6568,20190703
14.220769230799998,20190703
14.2136,20190703
14.1818181818,20190703
14.2307692308,20190703
13.976153846199999,20190703
13.842962963,20190703
13.708,20190703
14.0264,20190703
13.985,20190703
14.083636363599998,20190703
14.0626666667,20190703
13.797391304300001,20190703
13.901538461500001,20190703
14.0912,20190703
14.469230769200001,20190702
14.5081481481,20190702
14.506666666700001,20190702
14.4973913043,20190702
14.484347826099999,20190702
14.48,20190702
14.428181818199999,20190702
14.434782608699999,20190702
14.423636363599998,20190702
13.1848,20190702
14.37,20190702
14.5146153846,20190706
14.5223076923,20190706
14.5225,20190706
14.41,20190706
14.4591304348,20190706
12.75,20190706
13.6215384615,20190706
14.43,20190706
14.46,20190706
14.1807692308,20190706
14.2464,20190706
14.495,20190708
14.51,20190708
14.5095652174,20190708
14.35,20190708
14.4526315789,20190708
14.4533333333,20190708
14.4054545455,20190708
14.3224,20190708
14.442,20190708
14.4814285714,20190708
14.5042857143,20190708
14.5136,20190708
14.523846153800001,20190708
14.0525,20190708
14.408,20190708
14.0430769231,20190708
14.5266666667,20190708
14.54,20190708
14.522,20190708
14.5266666667,20190708
14.5026086957,20190708
14.514000000000001,20190708
14.446,20190708
14.4733333333,20190708
14.4947368421,20190708
14.52,20190708
14.4784,20190708
14.3723809524,20190708
14.6966666667,20190708
14.4432,20190708
14.4515789474,20190708
14.4522222222,20190708
14.415999999999999,20190708
14.4496,20190708
14.3072,20190708
14.2472,20190708
14.3558333333,20190708
14.3869230769,20190708
13.790769230799999,20190708
13.804,20190708
13.8761538462,20190708
13.437999999999999,20190708
13.7607692308,20190708
14.4093333333,20190708
14.4028571429,20190708
14.315999999999999,20190708
14.3115789474,20190708
13.9208,20190708
14.3073684211,20190708
14.0992,20190708
13.5832,20190708
13.7072727273,20190708
12.8504347826,20190708
13.7923076923,20190708
14.1753846154,20190708
13.84375,20190708
14.02,20190708
14.3656,20190709
14.504000000000001,20190709
14.53,20190709
14.5086956522,20190709
14.513333333299999,20190709
14.465,20190709
14.4766666667,20190709
14.4690909091,20190709
14.09,20190709
14.4752,20190709
14.502,20190709
14.518461538499999,20190709
14.3386666667,20190709
14.34,20190709
14.4136,20190709
14.081538461500001,20190709
13.8653846154,20190709
14.1269230769,20190709
14.096666666700001,20190709
14.11,20190709
14.146666666700002,20190709
14.1463636364,20190709
14.1553846154,20190709
14.145833333299999,20190709
14.0,20190709
14.0752,20190709
14.0676190476,20190709
13.6791304348,20190709
13.185454545499999,20190709
14.17,20190709
13.982307692300001,20190709
14.065,20190709
14.2171428571,20190709
13.930833333299999,20190709
13.8753846154,20190709
12.935,20190709
14.0296,20190709
14.1058333333,20190709
14.106923076900001,20190709
14.105217391300002,20190709
13.103333333299998,20190709
13.796,20190709
13.5824,20190709
14.065,20190709
13.9888,20190709
13.979259259300001,20190724
14.1290909091,20190724
13.905714285699998,20190724
14.28375,20190724
14.076153846199999,20190724
13.86,20190724
12.835789473699998,20190724
14.1024,20190724
12.7685714286,20190724
14.163846153800002,20190724
14.2336842105,20190724
14.3464,20190724
14.1976923077,20190724
13.5355555556,20190724
13.846666666700001,20190724
14.0792,20190724
13.9472727273,20190724
13.6128,20190724
14.43,20190724
14.0,20190724
14.2576,20190724
13.975,20190724
13.8644444444,20190724
13.83,20190724
13.9344,20190724
13.9588888889,20190724
13.673913043499999,20190724
13.647,20190724
14.2207407407,20190724
13.066153846199999,20190724
13.6607407407,20190724
13.469230769200001,20190724
12.986666666700001,20190724
14.1340740741,20190724
13.7472,20190724
14.187692307699999,20190723
14.4461538462,20190723
14.5042857143,20190723
14.5376923077,20190723
14.54,20190723
14.49,20190723
14.48,20190723
14.5182608696,20190723
14.041052631600001,20190723
14.47,20190723
14.5433333333,20190723
14.5295652174,20190723
14.5244444444,20190723
14.516153846199998,20190723
14.513333333299999,20190723
14.4940740741,20190723
13.379230769200001,20190723
14.4848,20190723
14.502,20190723
13.8546153846,20190723
